2025-10-17 22:58:17,682 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:20,043 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:15.322628)
2025-10-17 22:58:22,698 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:25,062 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:20.318770)
2025-10-17 22:58:27,671 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:30,068 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:25.322782)
2025-10-17 22:58:32,695 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 22:58:35,043 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17.788345, end: 2025-10-17 22:58:30.325588)
2025-10-17 23:03:24,406 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:03:35,687 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:03:38,068 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:03:33)
2025-10-17 23:03:40,648 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:02,808 - basicLogger - INFO - Starting Storage Service on port 8090
2025-10-17 23:04:05,653 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:08,007 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:03)
2025-10-17 23:04:10,655 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:13,023 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:08)
2025-10-17 23:04:15,639 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:18,003 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:13)
2025-10-17 23:04:20,637 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:22,980 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:18)
2025-10-17 23:04:25,646 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:28,021 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:23)
2025-10-17 23:04:30,653 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:33,026 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:28)
2025-10-17 23:04:35,616 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:37,981 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:33)
2025-10-17 23:04:40,616 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:43,000 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:38)
2025-10-17 23:04:45,614 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:47,978 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:43)
2025-10-17 23:04:50,633 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:52,996 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:48)
2025-10-17 23:04:55,622 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:04:58,002 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:53)
2025-10-17 23:05:00,606 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:02,966 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:04:58)
2025-10-17 23:05:05,618 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:08,001 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:03)
2025-10-17 23:05:10,611 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:12,959 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:08)
2025-10-17 23:05:15,603 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:17,940 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:13)
2025-10-17 23:05:20,627 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:22,996 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:18)
2025-10-17 23:05:25,617 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:27,967 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:23)
2025-10-17 23:05:30,618 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:32,943 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:28)
2025-10-17 23:05:35,597 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:37,993 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:33)
2025-10-17 23:05:40,626 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:42,984 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:38)
2025-10-17 23:05:45,629 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:47,975 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:43)
2025-10-17 23:05:50,650 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:53,003 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:48)
2025-10-17 23:05:55,624 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:05:57,988 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:53)
2025-10-17 23:06:00,613 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:02,957 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:05:58)
2025-10-17 23:06:05,654 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:08,008 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:03)
2025-10-17 23:06:10,630 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:12,982 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:08)
2025-10-17 23:06:15,642 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:17,993 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:13)
2025-10-17 23:06:20,629 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:22,992 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:18)
2025-10-17 23:06:25,628 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:27,980 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:23)
2025-10-17 23:06:30,643 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:33,022 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:28)
2025-10-17 23:06:35,629 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:37,999 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:33)
2025-10-17 23:06:40,645 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:43,014 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:38)
2025-10-17 23:06:45,642 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:47,996 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:43)
2025-10-17 23:06:50,646 - basicLogger - DEBUG - Found 0 PassengerCountEvent pressure readings (start: 1994-02-08, end: 2025-10-17)
2025-10-17 23:06:53,021 - basicLogger - DEBUG - Found 0 WaitTimeEvent pressure readings (start: 1994-02-08 19:29:17, end: 2025-10-17 23:06:48)
